Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
0.119197944,0.110832639,0.118798894,0.230728242,0.370531401,0.1,0.283333333,0.231944213
0.186776177,0.252838141,0.168922111,0.264831261,0.355072464,0.191428571,0.161904762,0.333490997
0.219812793,0.178312006,0.191431766,0.122735346,0.1,0.143174603,0.228571429,0.297667898
0.146031018,0.120706191,0.130707297,0.102841918,0.1,0.1,0.1,0.139398208
0.13685418,0.143683905,0.121127256,0.111367673,0.123188406,0.1,0.102380952,0.155059563
0.104441589,0.10299841,0.10425469,0.1,0.1,0.1,0.1,0.1057839
0.133183445,0.145268923,0.120331786,0.139786856,0.15410628,0.115238095,0.114285714,0.146112789
0.108773057,0.107672699,0.104458933,0.108525755,0.1,0.158412698,0.166666667,0.108820763
0.137221254,0.125854976,0.117515392,0.1,0.138647343,0.173650794,0.185714286,0.145950775
0.106754153,0.105613185,0.104777121,0.1,0.1,0.1,0.1,0.107659663
0.172827384,0.194111708,0.146479104,0.1,0.1,0.199047619,0.126190476,0.200153463
0.133917592,0.136990485,0.130324611,0.1,0.107729469,0.12031746,0.10952381,0.148164966
0.110057814,0.112892153,0.110096021,0.145470693,0.1,0.216825397,0.1,0.11583417
0.580646049,0.501887888,0.322899327,0.114209591,0.656521739,0.343809524,0.25952381,0.512426475
0.280012848,0.245377451,0.212490225,0.139786856,0.115458937,0.150793651,0.171428571,0.279666341
0.106203542,0.113417127,0.103803207,0.1,0.1,0.1,0.1,0.110145678
0.125632743,0.115062719,0.111347274,0.102841918,0.1,0.140634921,0.123809524,0.129461348
0.126979903,0.133931501,0.112837168,0.108525755,0.219806763,0.102539683,0.283333333,0.202619677
0.103010003,0.101645592,0.10105991,0.1,0.1,0.115238095,0.1,0.102964856
0.141259062,0.131922465,0.111087134,0.111367673,0.103864734,0.102539683,0.102380952,0.137238021
0.163650546,0.147853411,0.167939598,0.105683837,0.1,0.163492063,0.2,0.291367353
0.118684041,0.115961233,0.108077247,0.1,0.1,0.1,0.1,0.117760336
0.11607782,0.112639762,0.112140594,0.1,0.103864734,0.11015873,0.1,0.121234637
0.323327521,0.264942833,0.209914621,0.1,0.1,0.1,0.1,0.244383289
0.125585023,0.118212564,0.112531879,0.105683837,0.1,0.125396825,0.145238095,0.130361426
0.13685418,0.131528735,0.122152768,0.1,0.138647343,0.1,0.1,0.137238021
0.242938423,0.218260518,0.250883482,0.102841918,0.1,0.265079365,0.1,0.289207166
0.12951271,0.127106837,0.110160518,0.108525755,0.1,0.127936508,0.129761905,0.140604312
0.424639809,0.769483355,0.242754638,0.142628774,0.103864734,0.173650794,0.138095238,0.345192009
0.107561714,0.109469726,0.104566428,0.1,0.1,0.1,0.1,0.107197023
0.116995503,0.118051034,0.124025348,0.114209591,0.107729469,0.188888889,0.1,0.136355945
0.312315316,0.349786729,0.258801635,0.145470693,0.103864734,0.204126984,0.164285714,0.386055544
0.13575296,0.1199894,0.138027772,0.102841918,0.1,0.1,0.1,0.133925735
0.137588327,0.193092047,0.126155918,0.1,0.1,0.1,0.102380952,0.143592571
0.12272185,0.116324676,0.110691548,0.1,0.1,0.105079365,0.123809524,0.122746768
0.133550518,0.11522425,0.115470819,0.1,0.1,0.102539683,0.1,0.123178805
0.330668991,0.252444411,0.195222073,0.108525755,0.1,0.102539683,0.104761905,0.257902459
0.173928604,0.244186164,0.146107168,0.1,0.119323671,0.143174603,0.1,0.196409139
0.1214738,0.117576538,0.112628626,0.1,0.1,0.1,0.1,0.123736853
0.107781958,0.104775245,0.111891203,0.171047957,0.1,0.127936508,0.10952381,0.114808081
0.170257869,0.21521163,0.173118753,0.1,0.107729469,0.173650794,0.1,0.203789778
0.12327246,0.128136594,0.114724797,0.1,0.1,0.1,0.1,0.128471263
0.439689823,0.430723606,0.401429428,0.227886323,0.157971014,0.328571429,0.314285714,0.515306724
0.108295861,0.107046768,0.110549654,0.1,0.1,0.148253968,0.107142857,0.112665896
0.146031018,0.154980944,0.12450478,0.102841918,0.1,0.1,0.1,0.159253925
0.111452693,0.109328386,0.108937214,0.156838366,0.150241546,0.13047619,0.1,0.113565973
0.128998807,0.130559552,0.118850492,0.207992895,0.262318841,0.163492063,0.128571429,0.163268273
0.167688355,0.116900129,0.23603184,0.207992895,0.146376812,0.404761905,0.321428571,0.221953349
0.260190878,0.274109689,0.190341757,0.1,0.1,0.102539683,0.1,0.201089544
0.173561531,0.127227985,0.14338322,0.1,0.1,0.1,0.1,0.155131569
0.125988804,0.116950607,0.112282489,0.13410302,0.12705314,0.13047619,0.111904762,0.124690936
0.125585023,0.123866132,0.134764194,0.119893428,0.103864734,0.219365079,0.192857143,0.16404234
0.135385886,0.12168547,0.115053735,0.1,0.1,0.102539683,0.1,0.129317336
0.107818666,0.102544105,0.10504801,0.1,0.1,0.1,0.1,0.106466159
0.123382582,0.122755609,0.111022636,0.1,0.1,0.1,0.1,0.12670711
0.112627329,0.108641882,0.109023211,0.1,0.1,0.105079365,0.107142857,0.116104193
0.238533541,0.252000202,0.18119385,0.1,0.123188406,0.1,0.1,0.218551055
0.141626136,0.128722142,0.118538754,0.1,0.134782609,0.125396825,0.121428571,0.141522392
0.195585941,0.269021479,0.14819689,0.1,0.1,0.1,0.1,0.20542792
0.111526108,0.115305015,0.106731397,0.1,0.1,0.1,0.1,0.115654154
0.60267046,0.765303753,0.744210402,0.531971581,0.277777778,0.9,0.9,0.9
0.129879783,0.120807148,0.113080109,0.1,0.1,0.1,0.1,0.128237243
0.152638341,0.138575503,0.135477967,0.108525755,0.1,0.115238095,0.178571429,0.160802059
0.110131229,0.106986194,0.122799894,0.168206039,0.12705314,0.201587302,0.254761905,0.161396111
0.180168854,0.141806113,0.153356696,0.128419183,0.123188406,0.188888889,0.154761905,0.219037097
0.115747453,0.118212564,0.109416646,0.1,0.1,0.117777778,0.102380952,0.119488486
0.137588327,0.142502713,0.119671761,0.108525755,0.115458937,0.1,0.1,0.145158706
0.139790768,0.134951162,0.130292362,0.1,0.1,0.1,0.1,0.138318115
0.114976599,0.112235935,0.105202805,0.1,0.1,0.102539683,0.1,0.113511969
0.284784803,0.260419979,0.202536098,0.1,0.1,0.1,0.102380952,0.277146123
0.16401762,0.199977285,0.139416619,0.1,0.1,0.107619048,0.1,0.188650468
0.60267046,0.468279448,0.248131586,0.1,0.173429952,0.1,0.102380952,0.415398082
0.388299532,0.282670806,0.312427071,0.162522202,0.124154589,0.262539683,0.164285714,0.312429175
0.213572543,0.281782388,0.17639523,0.222202487,0.262318841,0.1,0.138095238,0.371114251
0.108112324,0.105986724,0.105265152,0.1,0.1,0.1,0.1,0.108568741
0.114058915,0.115678554,0.110214266,0.1,0.1,0.102539683,0.102380952,0.117382304
0.108002202,0.112791197,0.10479862,0.111367673,0.103864734,0.1,0.121428571,0.110786533
0.123052216,0.120272078,0.112054597,0.1,0.134782609,0.107619048,0.1,0.127337165
0.115894283,0.111175892,0.109214554,0.1,0.111594203,0.12031746,0.111904762,0.1173463
0.10484537,0.10315994,0.102367061,0.1,0.1,0.1,0.1,0.105080039
0.108112324,0.109661543,0.103549517,0.114209591,0.111594203,0.1,0.1,0.110889142
0.12217124,0.106885238,0.111220429,0.153996448,0.146376812,0.1,0.161904762,0.130559443
0.109213545,0.111024457,0.105411347,0.1,0.1,0.1,0.1,0.111112361
0.127310269,0.115375685,0.116532879,0.1,0.1,0.1,0.1,0.128831294
0.108846472,0.122836375,0.103439871,0.1,0.1,0.1,0.1,0.108928772
0.103927687,0.103119558,0.103424821,0.1,0.107729469,0.1,0.1,0.105011634
0.105395981,0.104452184,0.102801345,0.1,0.1,0.1,0.1,0.105558881
0.158511517,0.188407663,0.181974271,0.111367673,0.1,0.122857143,0.121428571,0.200009451
0.100477196,0.100353348,0.10052243,0.102841918,0.1,0.115238095,0.111904762,0.101668744
0.101615123,0.101009566,0.100679374,0.111367673,0.142512077,0.237142857,0.119047619,0.101355517
0.136487107,0.156030893,0.123846904,0.119893428,0.130917874,0.102539683,0.10952381,0.140370292
0.106717445,0.108116908,0.103865555,0.1,0.1,0.112698413,0.1,0.107386039
0.127493806,0.115708841,0.120632775,0.1,0.1,0.102539683,0.1,0.122530749
0.106313664,0.10469448,0.104596527,0.108525755,0.12705314,0.143174603,0.114285714,0.106109728
0.158511517,0.129671134,0.153279299,0.131261101,0.115458937,0.143174603,0.238095238,0.225499656
0.10194549,0.101140809,0.100591228,0.1,0.1,0.1,0.1,0.101236707
0.211370102,0.196373135,0.160481528,0.102841918,0.1,0.106349206,0.102380952,0.198947359
0.125658438,0.131286439,0.116025498,0.1,0.107729469,0.112698413,0.242857143,0.172881104
0.1189777,0.115264632,0.110035823,0.1,0.1,0.105079365,0.102380952,0.12011854
0.126539415,0.115315111,0.122965437,0.119893428,0.1,0.12031746,0.126190476,0.13884016
0.358933651,0.383546604,0.280750161,0.159680284,0.1,0.115238095,0.192857143,0.446720791
0.110828668,0.104290654,0.109610139,0.122735346,0.107729469,0.193968254,0.228571429,0.137400035
0.144562724,0.156838545,0.124674623,0.114209591,0.111594203,0.1,0.1,0.156517689
0.17870056,0.139362964,0.175270823,0.219360568,0.177294686,0.383174603,0.285714286,0.258550515
0.105909883,0.109641352,0.104028949,0.136944938,0.103864734,0.266349206,0.128571429,0.110827937
0.141259062,0.112357083,0.129060458,0.122735346,0.115458937,0.1,0.10952381,0.140100269
0.101211343,0.100161531,0.100457933,0.1,0.1,0.1,0.1,0.100487842
0.111489401,0.104543045,0.11092374,0.105683837,0.1,0.160952381,0.10952381,0.113944006
0.105579517,0.103028697,0.103652713,0.1,0.1,0.1,0.1,0.107909884
0.27817748,0.27950077,0.159036782,0.188099467,0.215942029,0.1,0.214285714,0.421698627
0.131715151,0.132497918,0.143428369,0.153996448,0.146376812,0.140634921,0.114285714,0.154465511
0.112003304,0.111912874,0.110622751,0.11705151,0.1,0.160952381,0.152380952,0.114862086
0.157410296,0.120635522,0.159810753,0.136944938,0.107729469,0.173650794,0.219047619,0.198281301
0.104588419,0.106663133,0.103024936,0.1,0.103864734,0.1,0.102380952,0.107112415
0.303138478,0.297662856,0.233191797,0.227886323,0.142512077,0.265079365,0.228571429,0.428719234
0.155942002,0.123755079,0.144621574,0.105683837,0.1,0.112698413,0.104761905,0.149911117
0.115820868,0.117112138,0.117085408,0.153996448,0.150241546,0.23968254,0.183333333,0.135869903
0.111048913,0.121513844,0.10717858,0.179573712,0.115458937,0.176190476,0.1,0.125068968
0.113801964,0.105027637,0.111487019,0.105683837,0.1,0.1,0.1,0.114394045
0.200357897,0.236341839,0.161410293,0.102841918,0.107729469,0.105079365,0.119047619,0.31224916
0.231926218,0.178614876,0.166787241,0.111367673,0.1,0.404761905,0.138095238,0.206255991
0.122831972,0.117939981,0.113346699,0.1,0.1,0.1,0.1,0.125609015
0.451436175,0.609941698,0.231080576,0.1,0.1,0.1,0.1,0.584432703
0.105873176,0.103483001,0.105443596,0.1,0.1,0.1,0.1,0.107920685
0.156309076,0.151316221,0.138732945,0.1,0.1,0.1,0.1,0.166904587
0.102863173,0.104381515,0.101569441,0.114209591,0.134782609,0.153333333,0.1,0.10531766
0.283316509,0.176626032,0.259945392,0.125577265,0.169565217,0.234603175,0.15,0.293707556
0.104882078,0.106067489,0.103579616,0.145470693,0.223671498,0.1,0.128571429,0.112503882
0.113801964,0.109277908,0.114043272,0.1,0.1,0.1,0.1,0.115978182
0.318555566,0.371179425,0.190752391,0.102841918,0.1,0.112698413,0.104761905,0.293167509
0.126576122,0.111418187,0.116911265,0.125577265,0.138647343,0.102539683,0.1,0.129353339
0.262026246,0.208235532,0.214966932,0.1,0.111594203,0.1,0.138095238,0.281826528
0.104221345,0.106733803,0.102827144,0.1,0.111594203,0.107619048,0.102380952,0.106732582
0.122538313,0.117929886,0.109431696,0.111367673,0.107729469,0.133015873,0.104761905,0.130397429
0.21430669,0.252545367,0.181073455,0.111367673,0.134782609,0.102539683,0.135714286,0.281106466
0.11288428,0.112296509,0.114402309,0.139786856,0.107729469,0.234603175,0.126190476,0.115204115
0.121547215,0.116728503,0.122245214,0.114209591,0.107729469,0.246031746,0.1,0.133601707
0.143828577,0.242288181,0.178052818,0.128419183,0.111594203,0.320952381,0.161904762,0.225769679
0.133183445,0.12814669,0.110850642,0.128419183,0.150241546,0.1,0.1,0.138624141
0.220914013,0.272756871,0.182862187,0.108525755,0.1,0.102539683,0.1,0.207552103
0.153739561,0.126743394,0.1532449,0.1,0.212077295,0.143174603,0.104761905,0.157651787
0.141626136,0.146389541,0.149547039,0.1,0.304830918,0.331111111,0.242857143,0.184942147
0.474194732,0.497354938,0.292493019,0.102841918,0.1,0.1,0.102380952,0.316569533
0.202927411,0.26781,0.188006944,0.165364121,0.250724638,0.196507937,0.142857143,0.327190452
0.13061393,0.126299185,0.116980062,0.102841918,0.111594203,0.102539683,0.107142857,0.136139926
0.103340369,0.10553242,0.102700299,0.1,0.1,0.1,0.1,0.105515677
0.173194457,0.212415133,0.157351246,0.11705151,0.119323671,0.173650794,0.152380952,0.203645765
0.247343305,0.309828121,0.259835746,0.168206039,0.111594203,0.272698413,0.245238095,0.273905843
0.110424888,0.114931476,0.107662312,0.1,0.1,0.1,0.1,0.115618151
0.160346884,0.152234926,0.141678334,0.1,0.1,0.1,0.1,0.166202527
0.111893182,0.112821484,0.106301413,0.1,0.1,0.1,0.1,0.114412047
0.123749656,0.123603645,0.11118388,0.102841918,0.1,0.1,0.1,0.127121146
0.245875011,0.277067717,0.18705453,0.165364121,0.250724638,0.1,0.119047619,0.308288817
0.107781958,0.104563237,0.105574741,0.1,0.1,0.1,0.1,0.109146591
0.114756355,0.113649327,0.110960288,0.119893428,0.123188406,0.23968254,0.15,0.130217414
0.163650546,0.155031423,0.140328185,0.1,0.1,0.102539683,0.1,0.187660383
0.268633569,0.277532117,0.24670189,0.122735346,0.1,0.160952381,0.178571429,0.31710958
0.108919886,0.111135509,0.106976488,0.1,0.1,0.1,0.1,0.109341008
0.155574929,0.246639408,0.137157054,0.122735346,0.1,0.1,0.104761905,0.177021462
0.127603928,0.118061129,0.113626188,0.1,0.1,0.11015873,0.111904762,0.130469436
0.108479398,0.110146135,0.104312738,0.108525755,0.134782609,0.144444444,0.1,0.108723555
0.613682665,0.673927967,0.322045809,0.128419183,0.1,0.1,0.1,0.550769792
0.119418188,0.111125413,0.119308425,0.111367673,0.138647343,0.107619048,0.104761905,0.12254875
0.123309168,0.116486207,0.111699861,0.108525755,0.1,0.1,0.1,0.123790858
0.147132238,0.131054239,0.115328924,0.1,0.1,0.1,0.1,0.153655441
0.158511517,0.178221145,0.163684908,0.108525755,0.1,0.1,0.138095238,0.184726129
0.233394512,0.310514626,0.2836977,0.236412078,0.281642512,0.473333333,0.35952381,0.52358744
0.107525007,0.110045178,0.105783283,0.142628774,0.12705314,0.163492063,0.102380952,0.112395872
0.115160136,0.107783751,0.115601964,0.1,0.1,0.105079365,0.102380952,0.118282381
0.151170047,0.129257212,0.135043684,0.1,0.1,0.1,0.1,0.147930946
0.143461503,0.197725953,0.160268686,0.159680284,0.185024155,0.15968254,0.1,0.166904587
0.140891989,0.147166906,0.121845329,0.1,0.1,0.1,0.1,0.150415161
0.299834817,0.338731986,0.243934943,0.188099467,0.103864734,0.214285714,0.197619048,0.379754999
0.126135634,0.115718937,0.116984362,0.1,0.1,0.102539683,0.114285714,0.133601707
0.398210517,0.548136089,0.290379649,0.105683837,0.1,0.153333333,0.104761905,0.363733613
0.120115628,0.124068045,0.120342536,0.162522202,0.111594203,0.160952381,0.245238095,0.144384639
0.104221345,0.10699629,0.103626914,0.1,0.1,0.1,0.1,0.108034095
0.125254657,0.119787486,0.111125832,0.1,0.1,0.1,0.1,0.125609015
0.15153712,0.178937937,0.135430669,0.1,0.1,0.1,0.1,0.165230442
0.205863999,0.248002322,0.17215129,0.1,0.1,0.107619048,0.102380952,0.225949695
0.136487107,0.225448626,0.17561911,0.182415631,0.138647343,0.152063492,0.123809524,0.273725827
0.118684041,0.117334242,0.111097883,0.1,0.1,0.1,0.1,0.121720679
0.116995503,0.113719997,0.106090721,0.1,0.1,0.1,0.1,0.114466051
0.131715151,0.107369829,0.122438707,0.111367673,0.1,0.1,0.116666667,0.133889731
0.101358172,0.100565357,0.100963164,0.1,0.1,0.1,0.1,0.101591338
0.130981004,0.118091416,0.117919577,0.1,0.1,0.102539683,0.1,0.12623907
0.150068826,0.139898034,0.134297662,0.102841918,0.107729469,0.160952381,0.135714286,0.150325153
0.10554281,0.108409682,0.103076534,0.1,0.1,0.1,0.1,0.109355409
0.342415344,0.330049721,0.26823978,0.139786856,0.177294686,0.216825397,0.195238095,0.436639919
0.273405524,0.209224906,0.182898736,0.1,0.146376812,0.1,0.142857143,0.228019874
0.10484537,0.106087681,0.103515118,0.1,0.1,0.1,0.1,0.106035922
0.447398367,0.40217309,0.214343455,0.1,0.1,0.105079365,0.1,0.352392632
0.128338075,0.118303425,0.113535892,0.142628774,0.1,0.168571429,0.104761905,0.138930167
0.105212444,0.103553671,0.104276189,0.1,0.1,0.1,0.1,0.106203337
0.110131229,0.106481411,0.104719073,0.1,0.1,0.1,0.1,0.110147478
0.128925392,0.13267964,0.116126544,0.1,0.1,0.13047619,0.111904762,0.132845641
0.109066716,0.112518614,0.121135856,0.111367673,0.246859903,0.331111111,0.1,0.16728262
0.107561714,0.112740718,0.104577178,0.11705151,0.1,0.1,0.114285714,0.111423788
0.159612737,0.143916105,0.125895777,0.1,0.107729469,0.102539683,0.1,0.140766326
0.213572543,0.215272204,0.183891999,0.188099467,0.262318841,0.226984127,0.14047619,0.322870078
0.366642195,0.40486863,0.191221074,0.162522202,0.277777778,0.237142857,0.176190476,0.386955622
0.391603194,0.520898009,0.232757513,0.1,0.1,0.1,0.1,0.34069162
0.275975039,0.366505136,0.169087655,0.1,0.1,0.1,0.1,0.260890717
0.164751767,0.198503319,0.155777505,0.151154529,0.239130435,0.313333333,0.185714286,0.207876131
0.120519409,0.117344338,0.107561266,0.108525755,0.1,0.138095238,0.138095238,0.118048361
0.130981004,0.113538275,0.120166243,0.105683837,0.1,0.102539683,0.1,0.131891559
0.129879783,0.109075995,0.118781695,0.102841918,0.103864734,0.11015873,0.102380952,0.131603534
0.145296871,0.173112743,0.131775806,0.1,0.1,0.11015873,0.1,0.179811704
0.155574929,0.162572878,0.126278463,0.1,0.1,0.1,0.1,0.164312363
0.130246857,0.107985664,0.129413045,0.102841918,0.1,0.1,0.1,0.129623362
0.1239699,0.127207794,0.1186226,0.1,0.1,0.135555556,0.1,0.125447001
0.121326971,0.112710431,0.113793882,0.1,0.1,0.1,0.1,0.123088797
0.186409103,0.187791828,0.141579438,0.1,0.157971014,0.1,0.119047619,0.212160502
0.148967606,0.173819439,0.130326761,0.1,0.1,0.133015873,0.119047619,0.181863881
0.123566119,0.121645087,0.111016186,0.105683837,0.103864734,0.138095238,0.252380952,0.129371341
0.104588419,0.105118498,0.103360324,0.105683837,0.134782609,0.1,0.104761905,0.106365351
0.124043315,0.126904924,0.114023923,0.1,0.1,0.1,0.1,0.13190956
0.123529412,0.123371444,0.111499918,0.1,0.103864734,0.122857143,0.10952381,0.127769202
0.1214738,0.125289619,0.112632925,0.139786856,0.150241546,0.105079365,0.114285714,0.125915042
0.166587134,0.172769491,0.136755019,0.136944938,0.18115942,0.171111111,0.13452381,0.32034986
0.139056621,0.125420863,0.131967149,0.1,0.1,0.105079365,0.1,0.137778068
0.303872625,0.284639459,0.254353452,0.182415631,0.138647343,0.155873016,0.161904762,0.312969222
0.1504359,0.152245022,0.126446157,0.145470693,0.130917874,0.117777778,0.111904762,0.164312363
